Parameter,Value
Model,Pretrained ResNet-18
Architecture type,CNN
Input image size,224 × 224
Input channels,3 RGB
Number of classes,5
Classes,"H, I, O, B, C"
Batch size,32
Maximum epochs,30
Classifier learning rate,0.0001
Backbone learning rate,2e-05
Optimizer,AdamW
Weight decay,0.0001
Dropout,0.3
Label smoothing,0.05
Scheduler,CosineAnnealingLR
Minimum learning rate,1e-6
Early stopping patience,8
Random seed,42
Data split,Group-based
Data augmentation,RandomAffine + ColorJitter
Loss function,Weighted CrossEntropyLoss
Total parameters,11179077
Trainable parameters,11179077
